Time,Wireless Signal Status,AF3, F7, F3, FC5, T7, P7, O1, O2, P8, T8, FC6, F4, F8, AF4,||,Blink,Wink Left,Wink Right,Surprise,Frown,Smile,Clench,
10.289,2,0, 4, 4, 0, 4, 4, 4, 4, 1, 1, 4, 4, 4, 4, ||,0,0,0,0,0.179988,0,0,
10.4142,2,0, 4, 4, 0, 4, 4, 4, 4, 1, 1, 4, 4, 4, 4, ||,0,0,0,0,0.188972,0,0,
10.5393,2,0, 4, 4, 0, 4, 4, 4, 4, 1, 1, 4, 4, 4, 4, ||,0,0,0,0,0.153833,0,0,
10.6645,2,0, 4, 4, 0, 4, 4, 4, 4, 1, 1, 4, 4, 4, 4, ||,0,0,0,0,0.0910747,0,0,
10.7895,2,0, 4, 4, 0, 4, 4, 4, 4, 1, 1, 4, 4, 4, 4, ||,0,0,0,0,0.0360029,0,0,
10.9148,2,0, 4, 4, 0, 4, 4, 4, 4, 1, 1, 4, 4, 4, 4, ||,0,0,0,0,0.0633868,0,0,
11.0398,2,0, 4, 4, 0, 4, 4, 4, 4, 1, 1, 4, 4, 4, 4, ||,0,0,0,0,0.0513644,0,0,
11.1649,2,0, 4, 4, 0, 4, 4, 4, 4, 1, 1, 4, 4, 4, 4, ||,0,0,0,0,0.0422671,0,0,
11.29,2,0, 4, 4, 0, 4, 4, 4, 4, 1, 1, 4, 4, 4, 4, ||,0,0,0,0,0.106769,0,0,
11.415,2,0, 4, 4, 0, 4, 4, 4, 4, 1, 1, 4, 4, 4, 4, ||,0,0,0,0,0.132313,0,0,
11.5402,2,0, 4, 4, 0, 4, 4, 4, 4, 1, 1, 4, 4, 4, 4, ||,0,0,0,0,0.108085,0,0,
11.6653,2,0, 4, 4, 0, 4, 4, 4, 4, 1, 1, 4, 4, 4, 4, ||,0,0,0,0,0.130715,0,0,
11.7905,2,0, 4, 4, 0, 4, 4, 4, 4, 1, 1, 4, 4, 4, 4, ||,0,0,0,0,0.128672,0,0,
11.9156,2,0, 4, 4, 0, 4, 4, 4, 4, 1, 1, 4, 4, 4, 4, ||,0,0,0,0,0.114465,0,0,
12.0408,2,0, 4, 4, 0, 4, 4, 4, 4, 1, 1, 4, 4, 4, 4, ||,0,0,0,0,0.130145,0,0,
12.1658,2,0, 4, 4, 0, 4, 4, 4, 4, 1, 1, 4, 4, 4, 4, ||,0,0,0,0,0.102695,0,0,
12.2909,2,0, 4, 4, 0, 4, 4, 4, 4, 1, 1, 4, 4, 4, 4, ||,0,0,0,0,0.109039,0,0,
12.4159,2,0, 4, 4, 0, 4, 4, 4, 4, 1, 1, 4, 4, 4, 4, ||,0,0,0,0,0.183395,0,0,
12.541,2,0, 4, 4, 0, 4, 4, 4, 4, 1, 1, 4, 4, 4, 4, ||,0,0,0,0,0.26688,0,0,
12.666,2,0, 4, 4, 0, 4, 4, 4, 4, 1, 1, 4, 4, 4, 4, ||,0,0,0,0,0.208137,0,0,
12.7913,2,0, 4, 4, 0, 4, 4, 4, 4, 1, 1, 4, 4, 4, 4, ||,0,0,0,0,0.288572,0,0,
12.9165,2,0, 4, 4, 0, 4, 4, 4, 4, 1, 1, 4, 4, 4, 4, ||,0,0,0,0,0.305694,0,0,
13.0418,2,0, 4, 4, 0, 4, 4, 4, 4, 1, 1, 4, 4, 4, 4, ||,0,0,0,0,0.0751579,0,0,
13.1668,2,0, 4, 4, 0, 4, 4, 4, 4, 1, 1, 4, 4, 4, 4, ||,0,0,0,0,0.114367,0,0,
13.2918,2,0, 4, 4, 0, 4, 4, 4, 4, 1, 1, 4, 4, 4, 4, ||,0,0,0,0,0,0,0,
13.4169,2,0, 4, 4, 0, 4, 4, 4, 4, 1, 1, 4, 4, 4, 4, ||,0,0,0,0,0.119552,0,0,
13.5419,2,0, 4, 4, 0, 4, 4, 4, 4, 1, 1, 4, 4, 4, 4, ||,0,0,0,0,0.122804,0,0,
13.667,2,0, 4, 4, 0, 4, 4, 4, 4, 1, 1, 4, 4, 4, 4, ||,0,0,0,0,0.080087,0,0,
13.792,2,0, 4, 4, 0, 4, 4, 4, 4, 1, 1, 4, 4, 4, 4, ||,0,0,0,0,0.0797336,0,0,
13.9173,2,0, 4, 4, 0, 4, 4, 4, 4, 1, 1, 4, 4, 4, 4, ||,0,0,0,0,0.0974321,0,0,
14.0425,2,0, 4, 4, 0, 4, 4, 4, 4, 1, 1, 4, 4, 4, 4, ||,0,0,0,0,0.117961,0,0,
14.1676,2,0, 4, 4, 0, 4, 4, 4, 4, 1, 1, 4, 4, 4, 4, ||,0,0,0,0,0,0,0,
14.5429,2,0, 4, 4, 0, 4, 4, 4, 4, 1, 1, 4, 4, 4, 4, ||,0,0,0,0,0.125024,0,0,
14.6679,2,0, 4, 4, 0, 4, 4, 4, 4, 1, 1, 4, 4, 4, 4, ||,0,0,0,0,0.119036,0,0,
14.793,2,0, 4, 4, 0, 4, 4, 4, 4, 1, 1, 4, 4, 4, 4, ||,0,0,0,0,0.123487,0,0,
14.9182,2,0, 4, 4, 0, 4, 4, 4, 4, 1, 1, 4, 4, 4, 4, ||,0,0,0,0,0.12543,0,0,
15.0432,2,0, 4, 4, 0, 4, 4, 4, 4, 1, 1, 4, 4, 4, 4, ||,0,0,0,0,0,0,0,
15.2936,2,0, 4, 4, 0, 4, 4, 4, 4, 1, 1, 4, 4, 4, 4, ||,0,0,0,0,0.110052,0,0,
15.4189,2,0, 4, 4, 0, 4, 4, 4, 4, 1, 1, 4, 4, 4, 4, ||,0,0,0,0,0.100651,0,0,
